¿Dónde vivís?,¿Qué valorás más?,¿Compromiso?,Producto sugerido,Beneficio clave,Frase motivadora
Ciudad,Cuidado personal,Nunca,Cepillo de bambú,Reduce el uso de plásticos en tu rutina diaria.,Cada cepillada cuenta.
Ciudad,Cuidado personal,A veces,Shampoo sólido,Sin plástico y con ingredientes naturales.,Tu cabello también ama al planeta.
Ciudad,Cuidado personal,Siempre,Desodorante ecológico,Fórmula vegana y sin residuos químicos.,Tu piel merece conciencia.
Ciudad,Cocina ecológica,Nunca,Tote bag reutilizable,Ideal para reemplazar bolsas plásticas al hacer compras.,Cada hábito cuenta. Empezá por uno.
Ciudad,Cocina ecológica,A veces,Envases de silicona,Alternativa reutilizable al film plástico.,Cuidá lo que comés… y cómo lo guardás.
Ciudad,Cocina ecológica,Siempre,Filtro de agua de carbón,Purifica sin necesidad de botellas plásticas.,Tu cocina también puede respirar verde.
Ciudad,Ahorro de energía,Nunca,Luz LED portátil,Consumo eficiente y diseño compacto.,Iluminá con intención.
Ciudad,Ahorro de energía,A veces,Bombilla LED inteligente,Programable y ahorradora.,"Pequeños cambios, gran ahorro."
Ciudad,Ahorro de energía,Siempre,Temporizador de enchufes,Controla tu consumo sin esfuerzo.,La energía que no usás… también cuenta.
Campo,Cuidado personal,Nunca,Jabón artesanal,Hecho a mano con ingredientes naturales.,Volvé a lo esencial.
Campo,Cuidado personal,A veces,Toallas desmaquillantes reutilizables,Reemplazan miles de descartables.,Tu rostro también puede cuidar el planeta.
Campo,Cuidado personal,Siempre,Kit de higiene sustentable,"Incluye cepillo, shampoo y desodorante sin plástico.",Sostenibilidad en cada paso.
Campo,Cocina ecológica,Nunca,Cubiertos de bambú,Reutilizables y ligeros para cualquier ocasión.,Cociná con conciencia.
Campo,Cocina ecológica,A veces,Filtro de agua por gravedad,"Filtra sin electricidad, ideal para áreas rurales.",Cuidar el agua es cuidar la vida.
Campo,Cocina ecológica,Siempre,Compostera doméstica,Convierte residuos orgánicos en abono natural.,Tus desechos pueden alimentar la tierra.
Campo,Ahorro de energía,Nunca,Lámpara solar básica,"Se carga con el sol, ilumina al anochecer.",Aprovechá la energía natural.
Campo,Ahorro de energía,A veces,Panel solar portátil,Carga dispositivos sin red eléctrica.,Energía limpia donde la necesites.
Campo,Ahorro de energía,Siempre,Sistema de energía solar autónomo,Para casas o huertas sostenibles.,El sol es tu mejor aliado.
Playa,Cuidado personal,Nunca,Protector solar biodegradable,Seguro para la piel y para los corales.,Cuidá tu piel sin dañar el mar.
Playa,Cuidado personal,A veces,Cepillo de bambú compacto,Ideal para viajes o kits personales.,Sostenibilidad que va con vos.
Playa,Cuidado personal,Siempre,Kit de playa ecológico,"Incluye protector, jabón y toalla de fibras naturales.",Disfrutá la arena sin dejar huella.
Playa,Cocina ecológica,Nunca,Set de cubiertos de bambú,Evitá descartables en tus picnics.,La playa limpia empieza por tu mochila.
Playa,Cocina ecológica,A veces,Botella de acero,Mantiene la temperatura por horas.,Cada sorbo cuenta.
Playa,Cocina ecológica,Siempre,Kit de picnic sustentable,"Incluye platos, cubiertos y servilletas reutilizables.",Cada comida puede ser un acto consciente.
Playa,Ahorro de energía,Nunca,Linterna solar,"Cargá de día, usá de noche.",Brillá con energía limpia.
Playa,Ahorro de energía,A veces,Powerbank solar,Cargá tu teléfono con energía del sol.,La batería verde que siempre necesitaste.
Playa,Ahorro de energía,Siempre,Mini estación solar portátil,Ideal para camping o trabajo remoto.,"Conectado con la naturaleza, sin enchufes."
